Gender,Age,Height,Weight,BMR,Calories
0,23,157,120,2071.25,2485.502
0,22,178,80,1807.5,2169
1,21,152,50,1184,1420.8
0,36,168,110,1975,2370
0,22,175,72,1708.75,2050.498
1,33,145,56,1140.25,1368.302
0,23,170,78,1732.5,2079
0,21,170,50,1462.5,1755
0,34,163,48,1333.75,1600.498
1,23,152,58,1254,1504.8
0,27,173,104,1991.25,2389.502
0,51,152,85,1550,1860
0,23,178,62,1622.5,1947
0,23,165,113,2051.25,2461.502
1,33,145,73,1310.25,1572.302
0,23,163,72,1628.75,1954.498
0,24,170,99,1937.5,2664.062
1,27,160,47,1174,1408.8
0,23,165,44,1361.25,1633.502
1,21,157,70,1415.25,2193.637
0,45,175,45,1323.75,1588.498
0,33,168,73,1620,1944
1,15,168,65,1464,2525.4
1,27,145,90,1510.25,1812.302
0,23,170,85,1802.5,2793.873
0,24,163,40,1303.75,1564.498
1,31,165,110,1815.25,2178.298
0,23,173,100,1971.25,2365.502
0,24,170,70,1647.5,2553.625
1,54,157,88,1430.25,1716.302
0,24,178,90,1897.5,2277
1,28,152,52,1169,1607.375
0,38,168,118,2045,2454
1,25,145,61,1230.25,1691.59
1,58,157,77,1300.25,1560.302
1,21,157,54,1255.25,2384.975
0,23,178,69,1692.5,2031
0,35,173,110,2011.25,2413.502
0,23,168,58,1520,1824
0,26,157,114,1996.25,2395.502
0,24,175,80,1778.75,2134.498
0,25,168,49,1420,1704
1,37,157,80,1435.25,1722.302
1,50,152,65,1189,1426.8
0,25,185,78,1816.25,2179.502
1,29,145,97,1570.25,1884.302
0,24,170,88,1827.5,2193
1,20,155,53,1237.75,1701.902
0,21,175,62,1613.75,1936.498
0,33,173,52,1441.25,1729.502
0,22,170,82,1777.5,2755.13
0,18,188,70,1790,2774.495
1,49,140,72,1189,1426.8
0,21,175,56,1553.75,1864.498
1,54,140,57,1014,1216.8
1,24,170,55,1331.5,1597.8
0,26,157,95,1806.25,2167.502
0,28,170,98,1907.5,2622.815
1,21,175,84,1667.75,2293.163
0,30,180,91,1890,2268
0,29,168,102,1930,2316
1,41,145,78,1320.25,1584.302
0,23,168,78,1720,2666.003
1,40,142,78,1306.5,1567.8
1,42,152,99,1569,1882.8
0,23,175,69,1673.75,3180.124
1,30,163,95,1657.75,1989.298
0,28,163,94,1823.75,2188.498
0,23,163,85,1758.75,2110.498
0,22,168,61,1555,1866
1,27,152,64,1294,1779.244
0,22,183,68,1718.75,3265.622
1,21,155,47,1172.75,1407.298
1,20,178,70,1551.5,2404.825
0,26,173,77,1726.25,2373.596
1,25,152,70,1364,1636.8
0,25,163,50,1398.75,1678.498
1,46,145,103,1545.25,1854.302
1,22,163,45,1197.75,1437.298
0,22,170,50,1457.5,1749
1,34,152,78,1399,1678.8
1,23,147,56,1202.75,1443.298
0,25,163,96,1858.75,2230.498
1,22,152,55,1229,1689.873
0,19,173,80,1791.25,2149.502
0,22,183,85,1888.75,2266.498
0,23,175,65,1633.75,1960.498
0,19,185,100,2066.25,2841.095
1,22,165,65,1410.25,2432.677
0,21,178,64,1652.5,3139.75
0,23,163,92,1828.75,2194.498
0,28,160,90,1765,2118
1,22,163,56,1307.75,1798.163
0,23,183,90,1933.75,2320.498
1,25,140,72,1309,1570.8
1,19,160,56,1304,1793.003
1,50,152,82,1359,1630.8
0,20,173,64,1626.25,2236.092
0,32,165,50,1376.25,1651.502
1,35,165,58,1275.25,1530.302
1,48,142,74,1226.5,1471.8
1,21,163,60,1352.75,1623.298
1,25,142,95,1551.5,1861.8
1,20,160,60,1339,1841.127
0,23,170,52,1472.5,1767
1,20,168,65,1439,1726.8
0,24,165,49,1406.25,1687.502
0,30,173,94,1876.25,2579.843
